gloss,closs,cfloss,crloss,cploss
-137.3929250240326,-49.2616729736328,29.233089065551756,-78.49476242065428,13.75791785120964
0.0,-51.81754417419434,25.453074526786803,-77.27061862945558,14.496712416410446
0.0,-58.66515827178955,22.289928388595584,-80.955086517334,17.16605731844902
0.0,-62.55709476470948,20.35618290901184,-82.91327743530276,18.49809694290161
0.0,-63.021401977539064,19.65040082931519,-82.67180252075195,18.6621250808239
-123.40815043449402,-50.281436920166016,26.5318190574646,-76.81325607299804,14.158476293087006
0.0,-54.534765625,19.863042974472048,-74.39780864715577,15.59538546204567
0.0,-61.853302001953125,18.04793667793274,-79.90123901367187,17.992384254932404
0.0,-64.21593494415282,17.642324352264403,-81.85825920104979,19.086712956428528
0.0,-65.64766464233398,15.797115516662599,-81.44477996826171,19.512149035930634
-107.26980304718018,-47.53756504058838,24.243830680847164,-71.78139553070068,13.292147874832153
0.0,-50.93594455718994,18.055369338393213,-68.99131374359129,14.177238464355469
0.0,-59.70322875976562,14.836230182647704,-74.53945941925048,17.450205296278
0.0,-62.81030197143555,15.075460696220397,-77.88576278686524,18.585983753204346
0.0,-65.00137691497802,15.220513772964475,-80.2218906402588,19.19270896911621
-115.71334218978882,-49.35789680480957,25.132631254196166,-74.49052810668945,13.942060559988022
0.0,-53.13928070068359,19.782465314865114,-72.92174625396727,15.036592930555344
0.0,-60.73239822387696,17.498399829864503,-78.23079795837403,17.836508482694626
0.0,-63.35847797393798,17.12387795448303,-80.4823558807373,18.71917700767517
0.0,-65.61470375061036,16.499225616455078,-82.11392974853517,19.643741637468338
-118.98711562156677,-48.101218986511235,25.696920013427736,-73.7981388092041,13.286229580640793
0.0,-52.76155261993407,20.17731132507324,-72.93886413574218,14.95847761631012
0.0,-59.200752639770506,16.73112564086914,-75.93187866210938,17.087838232517242
0.0,-62.18640022277833,17.280061411857606,-79.46646175384522,18.15347409248352
0.0,-63.759914207458486,17.792939877510072,-81.5528537750244,18.823852002620697
